pkg,win-64,osx-arm64,linux-64,linux-aarch64,noarch
7-zip,windows-latest,macos-latest,ubuntu-slim,ubuntu-24.04-arm,
android-sdk-platform-tools,windows-latest,macos-latest,ubuntu-slim,,
aria2,windows-latest,,,,
ast-grep,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
atuin,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
audacity,windows-latest,,,,
bitcomet,windows-latest,,,,
ble-sh,,,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
blender,windows-latest,,,,
blender-benchmark,windows-latest,,,,
calibre,windows-latest,,,,
cargo-binutils,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
cargo-bloat,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
cargo-codspeed,,,ubuntu-latest+ci-linux-release,,
cargo-espflash,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
cargo-llvm-cov,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
cargo-llvm-lines,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
cargo-nextest,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
cargo-unused-features,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
cloudflared,windows-latest,,ubuntu-slim,ubuntu-24.04-arm,
cpu-z,windows-latest,,,,
crsdk,windows-latest,macos-latest,ubuntu-slim,ubuntu-24.04-arm,
dism-plus-plus,windows-latest,,,,
dufs,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
easytier,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
edit,windows-latest,,ubuntu-slim,ubuntu-24.04-arm,
esp-generate,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
espflash,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
filezilla,windows-latest,,,,
fornax-py,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
fresh-editor,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
furmark,windows-latest,,,,
github-action-runner,windows-latest,macos-latest,ubuntu-slim,ubuntu-24.04-arm,
gh-act-runner,windows-latest,macos-latest,ubuntu-slim,ubuntu-24.04-arm,
hwinfo,windows-latest,,,,
imagemagick,windows-latest,,,,
jq,windows-latest,,,,
libcap-ng,,,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
libraw,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
librepcb,windows-latest,,,,
mason,windows-latest,,,,
microsandbox,,macos-latest,ubuntu-slim,ubuntu-24.04-arm,
mqttui,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
nssm,windows-latest,,,,
nuget,windows-latest,,,,
obs-studio,windows-latest,,,,
opencolorio,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
opencolorio-config-aces,,,,,ubuntu-slim
openimageio,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
openvdb,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
panda-cad,windows-latest,,,,
peazip,windows-latest,,,,
proj,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
pureref,windows-latest,,,,
pystring,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
pyxis-cli,windows-latest,macos-latest,ubuntu-latest+ci-linux-release,ubuntu-24.04-arm+ci-linux-release,
